#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
384.00,100.00,-1.41,0.00
381.00,100.00,-1.41,0.00
381.00,99.00,-1.33,0.00
381.00,99.00,-1.14,0.00
381.00,99.00,-1.06,0.00
382.00,99.00,-0.84,0.00
381.00,99.00,-0.92,0.00
381.00,99.00,-0.80,0.00
381.00,100.00,-0.65,0.00
382.00,99.00,-0.57,0.00
382.00,99.00,-0.57,0.00
381.00,99.00,-0.50,0.00
381.00,100.00,-0.38,0.00
382.00,100.00,-0.30,0.00
382.00,99.00,-0.23,0.00
382.00,99.00,-0.19,0.00
382.00,99.00,-0.15,0.00
382.00,99.00,-0.15,0.00
382.00,99.00,-0.04,0.00
382.00,99.00,-0.04,0.00
383.00,99.00,-0.04,0.00
382.00,99.00,0.04,0.00
381.00,99.00,-0.00,0.00
381.00,100.00,-0.00,0.00
382.00,99.00,0.04,0.00
382.00,99.00,-0.00,0.00
382.00,99.00,0.04,0.00
381.00,99.00,-0.00,0.00
381.00,99.00,-0.00,0.00
381.00,99.00,-0.04,0.00
383.00,99.00,0.03,0.00
383.00,99.00,0.07,0.00
383.00,99.00,0.07,0.00
383.00,99.00,0.04,0.00
383.00,99.00,0.04,0.00
382.00,99.00,-0.00,0.00
382.00,99.00,-0.00,0.00
383.00,99.00,0.04,0.00
385.00,99.00,0.11,0.00
386.00,99.00,0.15,0.00
386.00,100.00,0.12,0.00
384.00,100.00,0.08,0.00
384.00,99.00,0.12,0.00
385.00,99.00,0.16,0.00
386.00,99.00,0.16,0.00
386.00,99.00,0.16,0.00
388.00,99.00,0.24,0.00
388.00,99.00,0.29,0.00
387.00,100.00,0.25,0.00
385.00,100.00,0.17,0.00
386.00,100.00,0.14,0.00
386.00,100.00,0.14,0.00
386.00,100.00,0.14,0.00
385.00,100.00,0.09,0.00
385.00,99.00,0.09,0.00
386.00,99.00,0.17,0.00
386.00,99.00,0.17,0.00
387.00,100.00,0.16,0.00
387.00,99.00,0.09,0.00
386.00,99.00,0.01,0.00
386.00,99.00,0.01,0.00
386.00,99.00,0.09,0.00
386.00,99.00,0.09,0.00
386.00,99.00,0.05,0.00
387.00,99.00,0.05,0.00
386.00,99.00,0.01,0.00
386.00,99.00,-0.08,0.00
386.00,99.00,-0.08,0.00
386.00,99.00,-0.04,0.00
386.00,99.00,0.04,0.00
386.00,99.00,-0.00,0.00
386.00,99.00,-0.00,0.00
386.00,99.00,-0.00,0.00
